id,created_at,updated_at,title,rating,awards,release_date,length,genre_id
14,NULL,NULL,"Toy Story 2",3.2,2,"2003-04-04 00:00:00",120,7
9,NULL,NULL,"Harry Potter y la cámara de los secretos",3.5,2,"2009-08-04 00:00:00",200,8
11,NULL,NULL,"Alicia en el país de las maravillas",5.7,2,"2008-07-04 00:00:00",120,NULL
5,NULL,NULL,"Parque Jurasico",8.3,5,"1999-01-04 00:00:00",270,5
12,NULL,NULL,"Buscando a Nemo",8.3,2,"2000-07-04 00:00:00",110,7
4,NULL,NULL,"La Guerra de las galaxias: Episodio VII",9.0,6,"2003-11-04 00:00:00",180,5
6,NULL,NULL,"Harry Potter y las Reliquias de la Muerte - Parte 2",9.0,2,"2008-07-04 00:00:00",190,6
17,NULL,NULL,Intensamente,9.0,2,"2008-07-04 00:00:00",120,7
20,NULL,NULL,"I am Sam",9.0,4,"1999-03-04 00:00:00",130,3
3,NULL,NULL,"La Guerra de las galaxias: Episodio VI",9.1,7,"2004-07-04 00:00:00",NULL,5
10,NULL,NULL,"El rey león",9.1,3,"2000-02-04 00:00:00",NULL,10
