title,rating
"Transformers: el lado oscuro de la luna",0.9
"Toy Story 2",3.2
"Mi pobre angelito",3.2
"Harry Potter y la cámara de los secretos",3.5
"Alicia en el país de las maravillas",5.7
"Toy Story",6.1
"Hotel Transylvania",7.1
Big,7.3
Titanic,7.7
Avatar,7.9
"Parque Jurasico",8.3
"Buscando a Nemo",8.3
"La vida es bella",8.3
"La Guerra de las galaxias: Episodio VII",9.0
"Harry Potter y las Reliquias de la Muerte - Parte 2",9.0
Intensamente,9.0
"I am Sam",9.0
"La Guerra de las galaxias: Episodio VI",9.1
"El rey león",9.1
"Carrozas de fuego",9.9
"Harry Potter y la piedra filosofal",10.0
